Id,SalePrice
1461,119137.38465540178
1462,162495.0576005174
1463,181279.29930851003
1464,195055.45354440328
1465,189716.35254109374
1466,172145.40128663936
1467,183367.71760847783
1468,164363.51362434603
1469,188164.60235706958
1470,119298.92095141801
1471,195627.34571081414
1472,93400.87128734411
1473,94885.71158659915
1474,149287.3691224561
1475,119559.72104383579
1476,375855.91771873407
1477,245153.5282498934
1478,279487.0066076843
1479,277097.7492311351
1480,458840.9969184345
1481,337303.99055824336
1482,206616.73977074708
1483,176303.98696885371
1484,165352.23106101647
1485,182844.53914783706
1486,196677.30653010792
1487,329198.10544451774
1488,235577.07278126047
1489,196249.70378841797
1490,225722.1493085393
1491,193684.65601999668
1492,91622.03916818192
1493,179247.69835291296
1494,294230.39932724787
1495,292563.9933850539
1496,222210.7234077719
1497,182227.7650009958
1498,161038.70872304038
1499,160582.1656142418
1500,152367.77630335328
1501,172153.67271876906
1502,149377.41019434808
1503,292405.69433426374
1504,240452.49440841668
1505,224487.58316366302
1506,183798.77068900238
1507,241069.9371985924
1508,200548.50762295112
1509,158254.70900742582
1510,142487.6202515263
1511,149113.28218046558
1512,177439.9206662882
1513,143141.94069073745
1514,161969.2101585712
1515,192054.06972167347
1516,149801.8732788341
1517,169413.37748969998
1518,130666.25178445864
1519,218930.55051887353
1520,130957.00208654029
1521,130910.34423079208
1522,174069.24501120014
1523,113439.25046911938
1524,125245.83301735726
1525,122571.72812423675
1526,115124.60571038761
1527,106823.4442041354
1528,138351.32247305245
1529,142705.26418912582
1530,185699.4124205987
1531,105635.02087996912
1532,100066.78317242768
1533,154454.57798050012
1534,123201.78120759437
1535,154508.103836544
1536,109486.78085867844
1537,67721.86974464373
1538,156557.6325137287
1539,195820.60843550245
1540,94455.04266709607
1541,140754.81430804043
1542,138799.93820463636
1543,201869.56443839966
1544,83185.63495243125
1545,112586.10192706509
1546,130341.53479283299
1547,126387.26306409735
1548,136190.71380334478
1549,112977.49905182695
1550,131551.4663036891
1551,112481.13532792944
1552,136554.355073399
1553,151408.49046802564
1554,116203.5526920273
1555,164318.38073365702
1556,84264.92046186731
1557,112705.46388368483
1558,94363.58916684578
1559,79779.18540412108
1560,131286.888968774
1561,137793.87578616728
1562,131397.49529451376
1563,116292.4881527417
1564,163340.50731040942
1565,147544.52271167692
1566,241944.14943045712
1567,75744.2790976347
1568,225854.05544132445
1569,137436.68998155673
1570,139579.68492365198
1571,117408.42354658524
1572,144687.34729123334
1573,237310.3022711536
1574,114716.963011255
1575,233684.59960615812
1576,247728.08644174246
1577,185977.01444694248
1578,143446.58391368613
1579,149591.7796591671
1580,192380.52797208042
1581,158944.59896847466
1582,126126.95506937736
1583,319165.1627905736
1584,225737.51529958635
1585,139507.82134763675
1586,67621.77327057435
1587,95266.52135293171
1588,147975.99156494602
1589,100568.80875888589
1590,134721.65581748646
1591,95385.13162916162
1592,113788.44489287228
1593,123069.53972506284
1594,138244.9649098227
1595,110547.63385325368
